,date,passengers
0,1949-01-01,112.0
1,1949-02-01,118.0
2,1949-03-01,132.0
3,1949-04-01,129.0
4,1949-05-01,121.0
5,1949-06-01,135.0
6,1949-07-01,148.0
7,1949-08-01,148.0
8,1949-09-01,136.0
9,1949-10-01,119.0
10,1949-11-01,104.0
11,1949-12-01,118.0
12,1950-01-01,115.0
13,1950-02-01,126.0
14,1950-03-01,141.0
15,1950-04-01,135.0
16,1950-05-01,125.0
17,1950-06-01,149.0
18,1950-07-01,170.0
19,1950-08-01,170.0
20,1950-09-01,158.0
21,1950-10-01,133.0
22,1950-11-01,114.0
23,1950-12-01,140.0
24,1951-01-01,145.0
25,1951-02-01,150.0
26,1951-03-01,178.0
27,1951-04-01,163.0
28,1951-05-01,172.0
29,1951-06-01,178.0
30,1951-07-01,199.0
31,1951-08-01,199.0
32,1951-09-01,184.0
33,1951-10-01,162.0
34,1951-11-01,146.0
35,1951-12-01,166.0
36,1952-01-01,171.0
37,1952-02-01,180.0
38,1952-03-01,193.0
39,1952-04-01,181.0
40,1952-05-01,183.0
41,1952-06-01,218.0
42,1952-07-01,230.0
43,1952-08-01,242.0
44,1952-09-01,209.0
45,1952-10-01,191.0
46,1952-11-01,172.0
47,1952-12-01,194.0
48,1953-01-01,196.0
49,1953-02-01,196.0
50,1953-03-01,236.0
51,1953-04-01,235.0
52,1953-05-01,229.0
53,1953-06-01,243.0
54,1953-07-01,264.0
55,1953-08-01,272.0
56,1953-09-01,237.0
57,1953-10-01,211.0
58,1953-11-01,180.0
59,1953-12-01,201.0
60,1954-01-01,204.0
61,1954-02-01,188.0
62,1954-03-01,235.0
63,1954-04-01,227.0
64,1954-05-01,234.0
65,1954-06-01,264.0
66,1954-07-01,302.0
67,1954-08-01,293.0
68,1954-09-01,259.0
69,1954-10-01,229.0
70,1954-11-01,203.0
71,1954-12-01,229.0
72,1955-01-01,242.0
73,1955-02-01,233.0
74,1955-03-01,267.0
75,1955-04-01,269.0
76,1955-05-01,270.0
77,1955-06-01,315.0
78,1955-07-01,364.0
79,1955-08-01,347.0
80,1955-09-01,312.0
81,1955-10-01,274.0
82,1955-11-01,237.0
83,1955-12-01,278.0
84,1956-01-01,284.0
85,1956-02-01,277.0
86,1956-03-01,317.0
87,1956-04-01,313.0
88,1956-05-01,318.0
89,1956-06-01,374.0
90,1956-07-01,413.0
91,1956-08-01,405.0
92,1956-09-01,355.0
93,1956-10-01,306.0
94,1956-11-01,271.0
95,1956-12-01,306.0
96,1957-01-01,315.0
97,1957-02-01,301.0
98,1957-03-01,356.0
99,1957-04-01,348.0
100,1957-05-01,355.0
101,1957-06-01,422.0
102,1957-07-01,465.0
103,1957-08-01,467.0
104,1957-09-01,404.0
105,1957-10-01,347.0
106,1957-11-01,305.0
107,1957-12-01,336.0
108,1958-01-01,340.0
109,1958-02-01,318.0
110,1958-03-01,362.0
111,1958-04-01,348.0
112,1958-05-01,363.0
113,1958-06-01,435.0
114,1958-07-01,491.0
115,1958-08-01,505.0
116,1958-09-01,404.0
117,1958-10-01,359.0
118,1958-11-01,310.0
119,1958-12-01,337.0
120,1959-01-01,360.0
121,1959-02-01,342.0
122,1959-03-01,406.0
123,1959-04-01,396.0
124,1959-05-01,420.0
125,1959-06-01,472.0
126,1959-07-01,548.0
127,1959-08-01,559.0
128,1959-09-01,463.0
129,1959-10-01,407.0
130,1959-11-01,362.0
131,1959-12-01,405.0
132,1960-01-01,417.0
133,1960-02-01,391.0
134,1960-03-01,419.0
135,1960-04-01,461.0
136,1960-05-01,472.0
137,1960-06-01,535.0
138,1960-07-01,622.0
139,1960-08-01,606.0
140,1960-09-01,508.0
141,1960-10-01,461.0
142,1960-11-01,390.0
143,1960-12-01,432.0
